Age,Estimate,Error,ZIP
        Under 5 years,1491,231,16801
        5 to 9 years,1539,206,16801
        10 to 14 years,1171,246,16801
        15 to 19 years,3493,502,16801
        20 to 24 years,13145,851,16801
        25 to 29 years,3007,496,16801
        30 to 34 years,2779,431,16801
        35 to 39 years,1794,287,16801
        40 to 44 years,2311,410,16801
        45 to 49 years,1641,263,16801
        50 to 54 years,1458,296,16801
        55 to 59 years,1680,308,16801
        60 to 64 years,2213,384,16801
        65 to 69 years,1288,275,16801
        70 to 74 years,1669,340,16801
        75 to 79 years,992,225,16801
        80 to 84 years,685,197,16801
        85 years and over,951,237,16801
        Under 5 years,0,18,16802
        5 to 9 years,0,18,16802
        10 to 14 years,0,18,16802
        15 to 19 years,8542,562,16802
        20 to 24 years,4093,544,16802
        25 to 29 years,65,95,16802
        30 to 34 years,0,18,16802
        35 to 39 years,0,18,16802
        40 to 44 years,0,18,16802
        45 to 49 years,0,18,16802
        50 to 54 years,0,18,16802
        55 to 59 years,0,18,16802
        60 to 64 years,0,18,16802
        65 to 69 years,0,18,16802
        70 to 74 years,0,18,16802
        75 to 79 years,0,18,16802
        80 to 84 years,0,18,16802
        85 years and over,0,18,16802
        Under 5 years,747,237,16803
        5 to 9 years,976,313,16803
        10 to 14 years,751,176,16803
        15 to 19 years,978,286,16803
        20 to 24 years,5815,729,16803
        25 to 29 years,2756,526,16803
        30 to 34 years,1652,349,16803
        35 to 39 years,1198,286,16803
        40 to 44 years,1386,338,16803
        45 to 49 years,1415,257,16803
        50 to 54 years,1058,277,16803
        55 to 59 years,1044,277,16803
        60 to 64 years,1057,243,16803
        65 to 69 years,1088,270,16803
        70 to 74 years,762,234,16803
        75 to 79 years,469,188,16803
        80 to 84 years,386,150,16803
        85 years and over,426,294,16803
